id,氏名,class,数学,英語,理科,社会,国語
1,相川,B,89,85,72,75,90
2,蒼井,A,88,74,96,78,74
3,朝倉,B,91,69,75,70,95
4,伊吹,C,97,95,69,93,69
5,大西,A,92,89,70,72,77
6,片桐,A,97,69,81,87,80
7,川島,B,94,68,91,70,75
8,菊地,A,83,91,78,79,80
9,桐生,C,83,89,98,81,83
10,篠宮,A,87,96,72,67,73
11,白石,B,87,77,93,65,94
12,芹沢,B,68,76,91,75,98
13,高橋,A,71,69,96,70,77
14,田中,A,73,93,95,95,85
15,中谷,C,77,83,75,98,67
16,西川,C,69,88,65,75,67
17,野々原,B,66,97,68,86,88
18,萩原,B,88,67,83,66,76
19,速水,A,95,66,86,82,84
20,樋口,B,75,84,78,99,90
21,藤本,C,67,74,94,89,74
22,星井,C,75,70,76,81,81
23,前川,B,70,72,98,99,82
24,松田,C,87,66,87,80,88
25,三浦,A,86,80,94,98,90
26,水木,C,98,95,80,66,98
27,水瀬,C,91,92,91,67,78
28,最上,B,98,82,69,73,81
29,横山,A,70,97,94,77,83
30,脇山,C,69,68,90,70,79
