id	氏名	クラス	英語	数学	国語	理科	社会
1	佐藤	B	47	83	88	75	68
2	鈴木	D	82	86	82	81	70
3	高橋	A	62	74	84	70	76
4	田中	A	55	78	77	70	71
5	伊藤	A	63	79	78	64	54
6	渡辺	E	90	71	83	63	56
7	山本	E	54	48	77	46	47
8	中村	E	63	85	81	73	45
9	小林	A	72	63	67	51	68
10	加藤	A	81	60	74	63	54
11	吉田	D	52	98	74	87	86
12	山田	B	48	84	81	79	69
13	佐々木	A	56	79	73	81	74
14	山口	B	63	83	76	70	74
15	松本	D	83	75	76	65	72
16	井上	A	85	94	81	90	85
17	木村	B	76	67	84	63	93
18	林	C	59	59	79	53	64
19	斎藤	E	68	77	70	70	54
20	清水	E	65	68	80	62	48
21	山崎	A	27	76	83	73	75
22	森	E	63	40	88	41	90
23	池田	A	92	58	80	65	78
24	橋本	E	92	91	71	73	56
25	阿部	E	100	80	72	79	60
26	石川	A	61	74	73	84	70
27	山下	C	70	84	81	70	60
28	中島	C	70	86	81	78	61
29	石井	E	84	75	80	75	73
30	小川	E	56	79	80	73	49
31	前田	A	40	71	78	63	74
32	岡田	A	65	78	80	71	88
33	長谷川	E	67	85	79	75	73
34	藤田	D	62	70	82	56	65
35	後藤	A	80	76	77	71	85
36	近藤	B	77	72	81	71	39
37	村上	B	100	75	81	76	43
38	遠藤	C	100	65	81	62	100
39	青木	B	82	54	76	53	48
40	坂本	A	82	81	82	73	55
41	斉藤	B	100	59	82	56	70
42	福田	B	63	72	79	75	60
43	太田	D	88	84	84	82	23
44	西村	C	44	89	77	89	55
45	藤井	B	92	77	74	76	74
46	金子	B	63	72	76	66	63
47	岡本	B	73	55	74	48	75
48	藤原	E	81	100	82	91	56
49	中野	C	66	69	83	66	65
50	三浦	C	65	85	73	76	82
51	原田	A	74	88	76	78	56
52	中川	C	57	87	84	84	35
53	松田	B	61	75	77	75	66
54	竹内	E	55	82	90	81	78
55	小野	A	80	79	66	63	68
56	田村	E	64	76	80	79	52
57	中山	D	82	69	80	54	55
58	和田	C	61	68	74	75	62
59	石田	E	50	76	81	78	82
60	森田	A	66	74	87	65	27
61	上田	B	79	82	81	68	39
62	原	A	86	60	79	53	48
63	内田	E	86	75	79	72	78
64	柴田	B	59	69	88	73	60
65	酒井	C	75	59	77	73	52
66	宮崎	D	70	80	87	78	67
67	横山	C	66	75	82	67	63
68	高木	B	53	84	81	74	63
69	安藤	A	56	68	79	67	76
70	宮本	D	69	73	87	71	76
71	大野	B	39	77	81	83	49
72	小島	B	73	98	91	90	64
73	谷口	C	70	71	83	81	53
74	今井	A	89	79	78	70	89
75	工藤	A	74	89	86	87	73
76	高田	C	76	94	69	79	53
77	増田	E	60	72	78	54	62
78	丸山	C	91	73	86	61	78
79	杉山	B	81	77	74	63	77
80	村田	B	49	75	75	68	72
81	大塚	A	89	69	82	66	69
82	新井	D	67	74	75	71	68
83	小山	E	75	88	80	79	58
84	平野	A	50	85	77	77	75
85	藤本	A	51	86	82	71	59
86	河野	E	75	62	73	58	80
87	上野	E	62	70	72	69	49
88	野口	D	74	74	79	85	81
89	武田	D	73	79	77	65	95
90	松井	A	65	73	76	64	58
91	千葉	D	67	72	71	65	76
92	岩崎	B	69	91	86	89	62
93	菅原	E	57	91	77	90	56
94	木下	C	86	74	76	68	74
95	久保	D	55	81	80	69	67
96	佐野	C	82	72	84	60	65
97	野村	A	63	71	81	66	73
98	松尾	E	51	56	76	59	50
99	市川	B	54	80	82	82	74
100	菊地	C	75	91	71	77	47
101	杉本	D	60	72	78	69	62
102	古川	C	72	61	87	62	22
103	大西	D	93	93	74	85	81
104	島田	E	57	83	84	62	62
105	水野	B	95	76	76	69	50
106	桜井	E	78	92	80	80	100
107	高野	A	66	65	78	51	61
108	渡部	E	49	78	83	90	66
109	吉川	E	69	69	76	69	86
110	山内	E	62	63	83	57	50
111	西田	A	49	72	75	66	91
112	飯田	B	100	75	79	79	46
113	菊池	E	49	76	80	77	56
114	西川	A	58	79	84	67	83
115	小松	A	66	83	86	65	49
116	北村	D	61	59	81	63	67
117	安田	D	74	75	84	77	73
118	五十嵐	E	74	62	67	72	56
119	川口	E	77	59	75	60	51
120	平田	D	100	95	87	87	58
121	関	E	75	64	78	63	48
122	中田	E	65	76	70	69	68
123	久保田	E	66	75	82	81	54
124	服部	A	72	73	80	70	89
125	東	E	67	90	75	77	59
126	岩田	A	57	91	75	89	62
127	土屋	C	44	84	86	78	82
128	川崎	E	100	71	90	66	63
129	福島	E	80	75	78	67	52
130	本田	D	80	71	81	71	46
131	辻	E	58	93	84	80	66
132	樋口	C	46	84	86	62	50
133	秋山	C	100	72	72	68	45
134	田口	E	73	72	84	65	93
135	永井	A	37	67	79	61	77
136	山中	E	81	80	77	82	68
137	中西	E	44	88	79	77	73
138	吉村	A	49	65	72	69	39
139	川上	C	82	90	80	78	77
140	石原	E	66	56	73	46	76
141	大橋	C	73	83	82	72	59
142	松岡	E	73	81	91	90	72
143	馬場	A	98	73	79	67	33
144	浜田	A	90	68	75	57	60
145	森本	A	85	63	81	68	56
146	星野	C	100	60	73	66	40
147	矢野	C	87	72	81	57	76
148	浅野	C	64	67	75	77	75
149	大久保	A	48	67	72	56	84
150	松下	E	65	78	80	76	46
151	吉岡	E	59	75	75	84	73
152	小池	E	61	95	78	85	67
153	野田	C	72	63	78	47	60
154	荒木	E	56	67	79	65	62
155	大谷	E	49	88	81	83	26
156	内藤	C	71	92	89	84	57
157	松浦	E	71	81	79	75	59
158	熊谷	E	64	76	81	71	52
159	黒田	D	98	66	71	56	81
160	尾崎	B	86	82	81	81	56
161	永田	A	61	96	88	80	67
162	川村	C	67	85	82	79	50
163	望月	D	70	56	84	48	56
164	田辺	E	51	92	81	77	76
165	松村	D	72	93	86	68	56
166	荒井	A	61	62	81	47	67
167	堀	B	99	61	80	65	45
168	大島	C	38	84	84	72	55
169	平井	E	61	70	79	71	54
170	早川	E	71	74	69	63	46
171	菅野	B	65	83	81	91	62
172	栗原	D	71	52	68	52	66
173	西山	C	71	98	75	95	59
174	広瀬	C	72	85	84	88	65
175	横田	B	65	63	78	62	53
176	石橋	A	80	77	80	71	77
177	萩原	C	99	65	68	63	50
178	岩本	D	55	72	80	62	66
179	片山	E	92	64	81	41	60
180	関口	E	61	70	84	66	64
181	宮田	B	84	86	79	76	79
182	大石	B	53	87	75	79	53
183	高山	E	77	84	79	85	54
184	本間	B	95	73	83	71	60
185	吉野	D	64	72	76	65	64
186	須藤	D	86	80	73	80	51
187	岡崎	E	72	69	81	60	100
188	小田	E	81	74	82	78	63
189	伊東	E	25	79	77	78	65
190	鎌田	D	69	70	83	58	62
191	上原	A	54	74	88	68	64
192	篠原	E	53	66	85	66	62
193	小西	D	83	51	89	50	89
194	松原	A	50	93	86	74	69
195	福井	B	64	69	74	55	58
196	古賀	E	85	75	81	63	89
197	大森	D	100	71	76	72	59
198	小泉	C	50	60	79	48	74
199	成田	E	82	75	79	73	51
200	南	C	26	79	89	72	77
201	奥村	B	76	71	90	64	93
202	内山	E	57	89	88	90	77
203	沢田	A	53	44	79	47	83
204	川島	E	69	80	85	73	100
205	桑原	E	88	60	72	58	86
206	三宅	A	79	75	84	70	62
207	片岡	E	51	70	74	63	76
208	富田	A	66	64	84	52	93
209	杉浦	E	56	89	85	81	66
210	岡	C	54	68	90	64	42
211	八木	B	80	82	72	79	71
212	奥田	B	64	70	80	64	49
213	小沢	D	98	79	79	69	73
214	松永	A	57	66	78	60	51
215	北川	B	85	82	83	75	69
216	関根	E	58	86	80	71	71
217	河合	E	64	68	87	56	54
218	平山	E	80	61	84	53	66
219	牧野	D	90	86	79	78	72
220	白石	D	64	68	77	59	81
221	今村	B	73	67	76	58	89
222	寺田	B	90	76	67	78	52
223	青山	D	72	75	72	73	81
224	中尾	D	63	82	89	74	67
225	小倉	B	69	88	81	70	68
226	渋谷	C	63	75	85	73	83
227	上村	C	45	69	88	72	72
228	小野寺	B	68	75	79	79	41
229	大山	C	56	71	81	66	73
230	足立	E	69	75	79	73	81
231	岡村	C	76	92	75	78	80
232	坂口	E	95	72	83	69	50
233	天野	E	76	74	78	72	73
234	多田	A	81	78	77	65	64
235	佐久間	A	48	74	78	64	81
236	根本	B	75	72	80	63	53
237	豊田	E	62	75	76	72	76
238	田島	E	28	71	91	63	74
239	飯塚	E	50	47	74	50	72
240	角田	B	95	66	76	52	62
241	村山	E	74	52	89	49	37
242	武藤	E	63	69	80	62	79
243	西	C	73	54	71	37	14
244	白井	B	68	96	79	98	57
245	竹田	C	88	95	83	78	76
246	宮下	B	73	73	76	72	67
247	塚本	C	61	78	76	76	85
248	榎本	C	59	81	73	67	78
249	神谷	D	55	96	83	86	71
250	坂田	C	86	71	89	75	70
251	児玉	B	57	94	75	80	65
252	水谷	E	91	82	70	81	71
253	坂井	E	86	65	75	57	100
254	齋藤	D	61	65	85	65	77
255	小原	B	100	81	78	76	53
256	浅井	B	77	86	81	76	89
257	岡部	C	65	96	83	89	74
258	森下	D	73	64	79	53	61
259	小笠原	D	53	68	76	68	61
260	神田	B	47	87	79	82	32
261	中井	C	96	73	84	79	69
262	植田	D	88	94	79	88	56
263	河村	B	84	61	73	61	74
264	宮川	D	69	73	87	66	50
265	稲垣	E	82	82	79	76	64
266	前川	E	12	79	82	77	65
267	大川	E	55	70	90	52	42
268	松崎	C	87	63	87	51	61
269	長田	D	92	51	85	62	32
270	若林	D	56	67	88	66	66
